animal	DOB	sex	study	DateStudy	Age	Rearing2	RawScore	AdjScore	SLBinary	Context	Task	TotalExp	Participated	CurExp	Rearing	ID	Age group
TAHMIA 5565	32704	F	1	01/03/2010	20	M	NA	NA	0	Video	Diet	1	0	0	M	TAHMIA 5565	3
TAMBLO 5695	33230	M	1	01/03/2010	19	M	NA	NA	0	Video	Diet	1	0	0	M	TAMBLO 5695	3
TANG 2169	24838	F	1	01/03/2010	42	M	1	0	1	Video	Diet	3	1	2	W	TANG 2169	4
TANYA 2354	25204	F	1	01/03/2010	41	M	NA	NA	0	Video	Diet	0	0	0	W	TANYA 2354	4
TASHA 5871	33926	F	1	01/03/2010	17	M	NA	NA	0	Video	Diet	7	0	4	M	TASHA 5871	3
TINA 5210	31436	F	1	01/03/2010	24	M	NA	NA	0	Video	Diet	6	0	5	M	TINA 5210	3
TINKER 4751	30619	M	1	01/03/2010	26	U	NA	NA	0	Video	Diet	3	0	3	U	TINKER 4751	3
TODY 2720	25934	F	1	01/03/2010	39	M	NA	NA	0	Video	Diet	0	0	0	W	TODY 2720	4
TOHBI 5556	32673	M	1	01/03/2010	20	M	NA	NA	0	Video	Diet	2	0	0	M	TOHBI 5556	3
TONY 5651	33044	M	1	01/03/2010	19	U	NA	NA	0	Video	Diet	2	0	2	U	TONY 5651	3
TOTONI 6007	34363	M	1	01/03/2010	16	M	NA	NA	0	Video	Diet	2	0	1	M	TOTONI 6007	3
TRACEY 5300	31778	F	1	01/03/2010	23	N	NA	NA	0	Video	Diet	2	0	2	N	TRACEY 5300	3
TULIK 4206	29342	F	1	01/03/2010	29	M	0	-1	0	Video	Diet	6	1	3	M	TULIK 4206	3
VERANA 2431	25204	F	1	01/03/2010	41	M	NA	NA	0	Video	Diet	4	0	3	W	VERANA 2431	4
URSULA 1719	23377	F	1	01/03/2010	46	M	NA	NA	0	Video	Diet	4	0	4	W	URSULA 1719	4
WOTONI 4562	30115	F	1	01/03/2010	27	M	NA	NA	0	Video	Diet	0	0	0	M	WOTONI 4562	3
XENA 6487	36229	F	1	01/03/2010	10	M	NA	NA	0	Video	Diet	3	0	3	M	XENA 6487	2
ZIPPY 2537	25934	M	1	01/03/2010	39	M	NA	NA	0	Video	Diet	3	0	3	W	ZIPPY 2537	4
ZOE 10254	37359	F	1	01/03/2010	7	M	NA	NA	0	Video	Diet	8	0	5	M	ZOE 10254	1
ABBEY 2105	32955	F	2	01/04/2008	18	M	NA	NA	0	Video	Tool	2	0	2	W	ABBEY 2105	3
ADONIS 3521	27434	M	2	01/04/2008	33	M	NA	NA	0	Video	Tool	4	0	4	M	ADONIS 3521	3
AHNI 6104	34721	F	2	01/04/2008	13	M	NA	NA	0	Video	Tool	4	0	1	M	AHNI 6104	2
AJAX 3912	28491	M	2	01/04/2008	30	U	NA	NA	0	Video	Tool	6	0	6	U	AJAX 3912	3
AKIMEL 4152	29260	M	2	01/04/2008	28	N	NA	NA	0	Video	Tool	6	0	1	N	AKIMEL 4152	3
ALEX 5188	31412	M	2	01/04/2008	22	M	NA	NA	0	Video	Tool	6	0	5	M	ALEX 5188	3
ALLIE 5540	32622	F	2	01/04/2008	18	N	NA	NA	0	Video	Tool	0	0	0	N	ALLIE 5540	3
ALPHA 5066	30994	F	2	01/04/2008	23	M	NA	NA	0	Video	Tool	7	0	5	M	ALPHA 5066	3
ANGIE 3462	27395	F	2	01/04/2008	33	M	NA	NA	0	Video	Tool	5	0	1	W	ANGIE 3462	3
ARMOND 9728	31720	M	2	01/04/2008	21	U	NA	NA	0	Video	Tool	5	0	5	U	ARMOND 9728	3
APRIL 420	29341	F	2	01/04/2008	27	M	NA	NA	0	Video	Tool	4	0	2	M	APRIL 420	3
AUSTIN 5803	33608	M	2	01/04/2008	16	M	NA	NA	0	Video	Tool	5	0	2	M	AUSTIN 5803	3
